,name,price,rating
303,Aroma Studio 1 Pro High Sound Quality With 6 Hours Play...,499,4
304,"boAt Stone 850 with ASAP Charge, upto 13 Hours Playback...","2,299",3.7
305,JBL Flip 4 16 W Portable Bluetooth Speaker,"7,999",4.4
306,Portronics Dash 11 TWS Multi Colour LED Light 40 W Blue...,"3,499",0
307,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.9
308,Zoook ZB-ROCKER THUNDER 20 W Bluetooth Party Speaker,"1,999",4
309,etmax NANO SHARK Black ET-1616 With Mic Support 35 W Bl...,999,3.7
310,Intex Beast 1000 10 W Bluetooth Soundbar,"1,699",4.2
311,MZ TG-113 (PORTABLE BLUETOOTH SPEAKER) Dynamic Thunder ...,399,3.9
312,Oxhox MGA BASS Stereo SoundDrum With FM 10 W Bluetooth ...,399,3.8
313,ZEBRONICS Delight Portable Wireless Bluetooth Speaker,599,3.9
314,Eccellente HT136 Bluetooth Tower Speaker,"2,297",3.9
315,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
316,Noise Zest 3 W Bluetooth Speaker,999,4.2
317,Portronics SoundDrum 1 10 W Bluetooth Speaker,"1,299",4.4
318,SONY SRS-XB13 Bluetooth Speaker,"3,849",4
319,boAt Stone Grenade 5 W Portable Bluetooth Speaker,"1,199",4.2
320,Panasonic SC-HTB76GW-K 100 W Bluetooth Soundbar,"6,499",4.1
321,SAMSUNG HW-T400/XL 40 W Bluetooth Soundbar,"5,999",4.3
322,electrobuzz DJ TOWER 500W SPEAKER 25000 PMPO 500 W Blue...,"3,269",3.7
323,boAt Aavante Bar 3100D 260 W Bluetooth Soundbar,"13,999",4.2
324,F FERONS WS-887 Mini Bluetooth Speaker | Superb Sound Q...,289,3.8
325,F FERONS 100% GOOD QUALITY Mini Portable Wireless Speak...,349,4
326,SAMSUNG MX-T40/XL 300 W Bluetooth Party Speaker 300 W B...,"15,990",4.2
327,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
328,Portronics POR-891_Pure Sound PRO-3 Speaker 10 W Blueto...,"1,799",4.2
329,JBL Professional 104 Compact Desktop Reference 60 W Blu...,"8,999",4.5
330,WOOS WS-1100 40 W Bluetooth Speaker,"2,999",0
331,U&i Kingdom Series 8W Wireless Speaker with 10 Hours Ba...,449,3.7
332,WEI INTERNATIONAL Color stereo 7-light wireless BT mobi...,299,4.1
333,"Treadmill Multimedia Speaker with Aux Connectivity,USB ...",444,4.1
334,"KRISONS Wega Multimedia Home Theatre Speaker, LED Displ...","2,270",3.8
335,U&i Sumo Series with Karaoke mic and 6 hours Battery Ba...,859,4
336,ZEBRONICS ZEB- BT2220 10 W Bluetooth Laptop/Desktop Spe...,"1,699",3.9
337,F FERONS 100% Best quality Ultra 3d bass Portable Splas...,385,5
338,Drezel Multifunctions Multimedia Bluetooth Mini Tower S...,"1,295",3.7
339,SAMSUNG HW-T42E/XL Dolby Digital 150 W Bluetooth Soundb...,"8,199",4.1
340,Drezel Tower Speaker Umang Series 01 80 W Model 28000 P...,"3,175",4.7
341,Marshall Emberton 20 W Bluetooth Speaker,"14,999",0
342,Worricow Brand New X-BASS Wireless Bluetooth Portable P...,"1,549",3.9
